Observation	System_A	System_B	Difference
364	0.33729000	0.36425000	-0.02696000
365	0.33805000	0.32945000	0.00860000
366	0.32370000	0.30744000	0.01626000
367	0.33312000	0.33708000	-0.00396000
368	0.31686000	0.34379000	-0.02693000
369	0.32570000	0.34092000	-0.01522000
370	0.32892000	0.33168000	-0.00276000
371	0.33334000	0.36392000	-0.03058000
372	0.32993000	0.35553000	-0.02560000
373	0.32421000	0.34532000	-0.02111000
374	0.32871000	0.32127000	0.00744000
375	0.33159000	0.35865000	-0.02706000
376	0.33296000	0.33043000	0.00253000
377	0.32401000	0.33098000	-0.00697000
378	0.32126000	0.33703000	-0.01577000
379	0.32096000	0.35959000	-0.03863000
380	0.33873000	0.33277000	0.00596000
381	0.32790000	0.33601000	-0.00811000
382	0.33553000	0.33311000	0.00242000
383	0.32913000	0.35884000	-0.02971000
384	0.34200000	0.34904000	-0.00704000
385	0.32694000	0.33654000	-0.00960000
386	0.32460000	0.32540000	-0.00080000
387	0.33478000	0.36208000	-0.02730000
388	0.31708000	0.33598000	-0.01890000
389	0.33245000	0.34504000	-0.01259000
390	0.32997000	0.31329000	0.01668000
391	0.33357000	0.34764000	-0.01407000
392	0.32665000	0.32622000	0.00043000
393	0.31842000	0.33764000	-0.01922000
394	0.31520000	0.32357000	-0.00837000
395	0.32694000	0.33300000	-0.00606000
396	0.33329000	0.34037000	-0.00708000
397	0.32038000	0.33820000	-0.01782000
398	0.31915000	0.32037000	-0.00122000
399	0.32105000	0.36104000	-0.03999000
400	0.32338000	0.36220000	-0.03882000
401	0.32234000	0.33525000	-0.01291000
402	0.32113000	0.34849000	-0.02736000
403	0.32358000	0.35373000	-0.03015000
404	0.31856000	0.35065000	-0.03209000
405	0.32272000	0.34854000	-0.02582000
406	0.30622000	0.34180000	-0.03558000
407	0.31934000	0.34917000	-0.02983000
408	0.31465000	0.35780000	-0.04315000
409	0.32127000	0.32809000	-0.00682000
410	0.32611000	0.34793000	-0.02182000
411	0.31642000	0.35284000	-0.03642000
412	0.30939000	0.34207000	-0.03268000
413	0.30740000	0.32898000	-0.02158000
414	0.31751000	0.34894000	-0.03143000
415	0.31736000	0.35111000	-0.03375000
416	0.30651000	0.33967000	-0.03316000
417	0.30937000	0.33496000	-0.02559000
418	0.31430000	0.34691000	-0.03261000
419	0.31776000	0.32408000	-0.00632000
420	0.31998000	0.34421000	-0.02423000
421	0.31481000	0.33984000	-0.02503000
422	0.31343000	0.33164000	-0.01821000
423	0.30756000	0.34612000	-0.03856000
424	0.33111000	0.34846000	-0.01735000
425	0.31208000	0.31423000	-0.00215000
426	0.31896000	0.34905000	-0.03009000
427	0.30475000	0.34118000	-0.03643000
428	0.31905000	0.34338000	-0.02433000
429	0.32119000	0.31774000	0.00345000
430	0.31195000	0.33159000	-0.01964000
431	0.32404000	0.34120000	-0.01716000
432	0.32476000	0.33640000	-0.01164000
433	0.31492000	0.30463000	0.01029000
434	0.31187000	0.34217000	-0.03030000
435	0.32208000	0.32002000	0.00206000
436	0.31917000	0.35363000	-0.03446000
437	0.33033000	0.32896000	0.00137000
438	0.34393000	0.32926000	0.01467000
439	0.32628000	0.35611000	-0.02983000
440	0.33366000	0.35654000	-0.02288000
441	0.31636000	0.33386000	-0.01750000
442	0.31267000	0.34706000	-0.03439000
443	0.32935000	0.33866000	-0.00931000
444	0.32451000	0.34763000	-0.02312000
445	0.32106000	0.31738000	0.00368000
446	0.32088000	0.32158000	-0.00070000
447	0.31726000	0.31969000	-0.00243000
448	0.32218000	0.34968000	-0.02750000
449	0.32458000	0.33299000	-0.00841000
450	0.34354000	0.34223000	0.00131000
451	0.34617000	0.32453000	0.02164000
452	0.34357000	0.34575000	-0.00218000
453	0.33663000	0.34299000	-0.00636000
454	0.34160000	0.34946000	-0.00786000
455	0.32185000	0.33536000	-0.01351000
456	0.33783000	0.35051000	-0.01268000
457	0.33449000	0.32433000	0.01016000
458	0.33988000	0.32950000	0.01038000
459	0.34083000	0.33869000	0.00214000
460	0.34837000	0.35982000	-0.01145000
461	0.33743000	0.30435000	0.03308000
462	0.34005000	0.31992000	0.02013000
463	0.33649000	0.32138000	0.01511000
464	0.32781000	0.34312000	-0.01531000
465	0.32816000	0.31577000	0.01239000
466	0.34413000	0.33075000	0.01338000
